Date,LogReturn
2015-08-31,-0.0013246789876694932
2015-09-01,0.006254679083375538
2015-09-02,-0.005459639578781788
2015-09-03,-0.007800809896323428
2015-09-04,-0.0027625341162804407
2015-09-08,-0.00017844816814424258
2015-09-09,-0.016377648027910367
2015-09-10,0.0066013252241179255
2015-09-11,-0.005422516675857549
2015-09-14,0.0037988027454549534
2015-09-15,-0.004433305016104712
2015-09-16,0.014761656297426292
2015-09-17,-0.0016989964683834105
2015-09-18,0.0184450795810628
2015-09-21,-0.004402965995982146
2015-09-22,-0.007174182201744282
2015-09-23,0.005849503214074751
2015-09-24,0.019428346289593987
2015-09-25,-0.006783266867504336
2015-09-28,-0.012291638511556624
2015-09-29,-0.004338039176050699
2015-09-30,-0.010345205714490345
2015-10-01,-0.0011661201093563032
2015-10-02,0.020344525396983844
